name,price,description,images,stock,categoryId,componentType
Thùng máy/ CASE ASUS A31 ATX BLACK 4FA,1890000,Đang cập nhật,"https://lh3.googleusercontent.com/z-HmflszEuYa-j5IavNXGwwPq7zpEYfGTzg6yOyU1FY0ZLqLC5RC7VrqqVRNsUtraKfo9_1WEbOkH_610bZYF1umn-T5C6M,https://lh3.googleusercontent.com/pVTJ6tqLNmYhHpPSfCEMr9ScnVH2tGZIh_jAsINyl4DbrpT288IdGquzBj-epGudZNyPcr1bSt4sgoTaD4FrKRaDeykI7fg,https://lh3.googleusercontent.com/8ubztHsbl9I1UKr2mAAeg6x6slzhUYQEyuibGvwjepT6LLFGWGyeO7PznZYCdUVTBAVpO5W9Hnd8BBpwr1vF7srFRVUKptu7dw,https://lh3.googleusercontent.com/qe_XlW3il3OOXO607e-aEqxlulc2l1xZkc988EWa-crs048YtroK8ntCLsx0Kzm0NfZ4YR0TG_MhKj80VrS6ANrSlHWI3G4,https://lh3.googleusercontent.com/cNVEPu33AcrtCi68rShsrpd_j2IC7gwxSxs9ysJuP3KGq9hc7CmLsHreDi0UAZoPXuQ8HDfyUnYtks7JOqr38pUDS90rICpo,https://lh3.googleusercontent.com/EjIeHCh9ZP58BtkZNi8nInNfFccuj8y8L2lrrEp1JfCdO6EtDW0HSUDSXh0G7VVBYlx_uKlNSHBiRk9mSakR4B-FZU4VoGtf,https://lh3.googleusercontent.com/bVqleS10nhfDZYhQK1tsD43TLk5JwPJoNWK3h8n6V3V2cHW8hFjD3cziDmySGwUhdPAi_NDfxX1R3Efw7g6JxdIf9gc5n5M,https://lh3.googleusercontent.com/qNmWLeHVEoxMAjVEF0SlMmrsKqHZmBXAgu2RS05fu3AtqtG1SXRMkAbNRdlshzw8nzARNChwi5sraUfVK-3vN9f2smMVuIM,https://lh3.googleusercontent.com/fqYWjNIpDJRWODegQ506mVuObp4OY8iiq3HknMYdh1GSR7Z_dM5AVRc821PBbiteieMExACHTzNsj5JpZZCmPvmMJJpnMOOJ,https://lh3.googleusercontent.com/CuiBkquYYpNfgZJtdwioDe87gZnBjFe1dgQV5dQFoVlcmZTFAotYHwcOwrsr7p_iW_HCCcKmxaK-Cs_ctL3EOxbVLiyjB8Z5,https://lh3.googleusercontent.com/mbUv8WN18tNgeINjmoFEWLTq3bGOv7vEgI_FuIHfqntNAd5RPQXk_0ouc8whGbcUV5f75kozNR9656VJQ1K-dR7erOGzZZFMwQ,https://lh3.googleusercontent.com/JkXntAkM1AUqt2kXcwEHnZq0DxEKMwMPTqtakrgVYEhcRIQhvIgECOHCC3sLtxuiO3-wSbAEd9zagvJVgwMqXEoY_hFZTeJ_,https://lh3.googleusercontent.com/1AECgF_H-2WfuNc_PQDbnaMYcLWgZp_6rwA6wYeBLwkf6JOq1DMeLqF6-lrY3m7o0HMeop-NxiMOcH8ylITm9yQ3gBccr6I,https://lh3.googleusercontent.com/FoM6VFQQ0CNGr9eL6BlZxuItQfc62YChC2q6a7fQ2_-PTnasCoBZLvDu8wAN48kd2aLhOvJAXblpjRAH7PXk8zkMFNEHpa46Sw",9,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ CASE Xigmatek MYX Air 3F  (3 Fan) (EN45967),729000,"<blockquote><p><a href=""https://phongvu.vn/c/case-xigmatek"" target=""_blank"" rel=""noopener noreferrer"">CASE Xigmatek </a>MYX Air 3F EN45967 là thùng máy tầm trung nổi bật với thiết kế hiện đại, hiệu năng tản nhiệt vượt trội và khả năng tương thích linh hoạt. Sản phẩm trang bị 3 quạt RGB 120mm, mặt lưới tối ưu luồng khí và kính cường lực khoe trọn hệ thống ánh sáng. Phù hợp cho game thủ, streamer hoặc người dùng muốn <a href=""https://phongvu.vn/buildpc"" target=""_blank"" rel=""noopener noreferrer"">build PC</a> mạnh mẽ, MYX Air 3F đáp ứng tốt nhu cầu chơi game, làm việc đa nhiệm và nâng cấp cấu hình. Với giá thành hợp lý, đây là lựa chọn lý tưởng để xây dựng hệ thống PC Gaming ấn tượng.</p></blockquote><h2>I. Đặc điểm nổi bật</h2><ul><li><strong>Thiết kế mặt lưới 3D</strong>: Tối ưu luồng khí, tăng hiệu quả làm mát và tạo điểm nhấn thẩm mỹ.</li><li><strong>3 quạt RGB 120mm</strong>: Làm mát hiệu quả ngay từ đầu, đồng thời tạo ánh sáng rực rỡ.</li><li><strong>Hỗ trợ đa dạng mainboard</strong>: Tương thích ATX, Micro-ATX, Mini-ITX, phù hợp mọi cấu hình PC.</li><li><strong>Kính cường lực sang trọng</strong>: Khoe linh kiện và ánh sáng RGB, nâng tầm trải nghiệm thị giác.</li><li><strong>Lọc bụi từ tính</strong>: Dễ vệ sinh, bảo vệ linh kiện khỏi bụi bẩn, tăng độ bền.</li><li><strong>Quản lý cáp gọn gàng</strong>: Giúp không gian bên trong <a href=""https://phongvu.vn/c/case"" target=""_blank"" rel=""noopener noreferrer"">vỏ case</a> khoa học, dễ nâng cấp.</li></ul><h2><strong>II. Đánh giá chi tiết</strong></h2><p>CASE Xigmatek MYX Air 3F EN45967 là sự kết hợp hoàn hảo giữa thiết kế bắt mắt, tản nhiệt hiệu quả và không gian lắp đặt linh hoạt, phù hợp cho người dùng muốn build <a href=""https://phongvu.vn/c/pc-gaming"" target=""_blank"" rel=""noopener noreferrer"">PC Gaming</a> hoặc hệ thống làm việc đa nhiệm. Với 3 quạt RGB tích hợp, kính cường lực và hỗ trợ đa dạng linh kiện, sản phẩm mang đến trải nghiệm tối ưu trong phân khúc tầm trung. Dưới đây là đánh giá chi tiết từng khía cạnh:</p><h3><strong>1. Thiết kế hiện đại và thẩm mỹ</strong></h3><p>Xigmatek MYX Air 3F nổi bật với mặt trước dạng lưới 3D, không chỉ tăng tính thẩm mỹ mà còn tối ưu luồng không khí vào case, giúp làm mát các linh kiện hiệu quả hơn. Kính cường lực bên hông trong suốt cho phép người dùng khoe trọn hệ thống ánh sáng RGB từ 3 quạt 120mm tích hợp sẵn, tạo hiệu ứng thị giác ấn tượng.</p><figure class=""image""><img src=""https://storage.googleapis.com/teko-gae.appspot.com/media/image/2025/6/25/494f82b7-ca75-4a14-b09a-d7cf0501a501/case-xigmatek-myx-air-3f-3.jpg"" alt=""Mặt lưới 3D độc đáo, tối ưu luồng khí, nâng tầm thẩm mỹ cho PC Gaming.""><figcaption>Mặt lưới 3D độc đáo, tối ưu luồng khí, nâng tầm thẩm mỹ cho PC Gaming.</figcaption></figure><p>Khung case được làm từ thép chắc chắn, đảm bảo độ bền lâu dài. Thiết kế Mid Tower nhỏ gọn (330 x 195 x 423 mm) phù hợp với không gian nhỏ, dễ dàng bố trí trên bàn làm việc. Hệ thống quản lý cáp thông minh giúp dây cáp được sắp xếp gọn gàng, tạo không gian bên trong khoa học và dễ dàng nâng cấp linh kiện khi cần.</p><h3><strong>2. Hệ thống tản nhiệt hiệu quả</strong></h3><p>Hệ thống tản nhiệt của MYX Air 3F được tối ưu với 3 quạt RGB 120mm ở mặt trước, đảm bảo luồng khí mạnh mẽ ngay từ khi khởi động. Người dùng có thể mở rộng bằng cách lắp thêm 2 quạt 120mm ở phía trên và 1 quạt ở phía sau, tạo luồng khí đối lưu hoàn chỉnh, giúp giữ nhiệt độ linh kiện ổn định ngay cả khi chạy tác vụ nặng như chơi game AAA hoặc render video.</p><figure class=""image""><img src=""https://storage.googleapis.com/teko-gae.appspot.com/media/image/2025/6/25/dc97b9c1-003a-4cdd-b626-72defc4cad36/case-xigmatek-myx-air-3f-1.jpg"" alt=""Xigmatek MYX Air 3F với 3 quạt RGB, làm mát mạnh, ánh sáng rực rỡ.""><figcaption>Xigmatek MYX Air 3F với 3 quạt RGB, làm mát mạnh, ánh sáng rực rỡ.</figcaption></figure><p>Mặt lưới trước, khe thoát khí ở nóc và phía sau cùng hệ thống lọc bụi từ tính giúp hạn chế bụi bẩn xâm nhập, bảo vệ linh kiện và dễ vệ sinh định kỳ. Quạt hoạt động êm ái, giảm độ ồn, phù hợp cho cả không gian giải trí lẫn làm việc yên tĩnh.</p><h3><strong>3. Không gian lắp đặt linh hoạt</strong></h3><p>Dù sở hữu thiết kế nhỏ gọn, Xigmatek MYX Air 3F vẫn cung cấp không gian lắp đặt rộng rãi. Case hỗ trợ card đồ họa dài tối đa 330mm, đủ sức chứa các dòng GPU tầm trung đến cao cấp. Chiều cao tản nhiệt CPU tối đa 158mm cho phép sử dụng các tản khí hiệu năng cao mà không lo giới hạn không gian.</p><figure class=""image""><img src=""https://storage.googleapis.com/teko-gae.appspot.com/media/image/2025/6/25/05bd4755-fd3e-4309-b65a-0cb089183505/case-xigmatek-myx-air-3f-5.jpg"" alt=""Tương thích ATX, Micro-ATX, Mini-ITX, linh hoạt cho mọi cấu hình PC.""><figcaption>Tương thích ATX, Micro-ATX, Mini-ITX, linh hoạt cho mọi cấu hình PC.</figcaption></figure><p>Về lưu trữ, case tích hợp 1 khay 2.5 inch cho SSD và 1 khay 3.5 inch cho HDD, đáp ứng nhu cầu cài đặt hệ điều hành nhanh chóng và lưu trữ dữ liệu dung lượng lớn. Với 4 khe mở rộng, người dùng dễ dàng nâng cấp thêm linh kiện như card âm thanh hoặc Wi-Fi, phù hợp cho cả PC Gaming lẫn máy trạm.</p><h3><strong>4. Cổng kết nối tiện dụng</strong></h3><p>Mặt trước của MYX Air 3F được trang bị các cổng kết nối thiết yếu, bao gồm 1 cổng USB 3.0 tốc độ cao, 2 cổng USB 2.0 và jack HD Audio, giúp kết nối nhanh với chuột, bàn phím, tai nghe hoặc USB mà không cần thao tác phức tạp. Các cổng này được bố trí hợp lý, dễ tiếp cận, phù hợp với nhu cầu sử dụng hàng ngày của game thủ và người làm việc.</p><figure class=""image""><img src=""https://storage.googleapis.com/teko-gae.appspot.com/media/image/2025/6/25/4201966d-6c76-4fb6-8aa9-abead36e58c8/case-xigmatek-myx-air-3f-4.jpg"" alt=""Xigmatek MYX Air 3F sắp xếp cáp khoa học, dễ nâng cấp, không gian gọn.""><figcaption>Xigmatek MYX Air 3F sắp xếp cáp khoa học, dễ nâng cấp, không gian gọn.</figcaption></figure><p>Case hỗ trợ bo mạch chủ chuẩn ATX, Micro-ATX và Mini-ITX, mang lại sự linh hoạt khi lựa chọn mainboard để xây dựng cấu hình PC từ cơ bản đến cao cấp. Thiết kế này giúp MYX Air 3F trở thành lựa chọn lý tưởng cho nhiều đối tượng người dùng, từ người mới build PC đến những ai cần hệ thống mạnh mẽ, ổn định.</p><h2><strong>III. So sánh CASE Xigmatek MYX Air 3F EN45967 với Case MIK MORAX 3FA BLACK</strong></h2><figure class=""table""><table style=""border:1px solid #d9d9d9;""><tbody><tr><td style=""border:1px solid #d9d9d9;""><strong>Thông tin</strong></td><td style=""border:1px solid #d9d9d9;""><strong>Xigmatek MYX Air 3F EN45967</strong></td><td style=""border:1px solid #d9d9d9;""><strong>MIK MORAX 3FA BLACK</strong></td></tr><tr><td style=""border:1px solid #d9d9d9;"">Kích thước</td><td style=""border:1px solid #d9d9d9;"">330 x 195 x 423 mm</td><td style=""border:1px solid #d9d9d9;"">365 x 216 x 405 mm</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Loại mainboard hỗ trợ</td><td style=""border:1px solid #d9d9d9;"">Micro-ATX, Mini-ITX</td><td style=""border:1px solid #d9d9d9;"">M-ATX, ITX</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Số khe mở rộng PCI</td><td style=""border:1px solid #d9d9d9;"">4</td><td style=""border:1px solid #d9d9d9;"">4</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Vật liệu</td><td style=""border:1px solid #d9d9d9;"">Thép, nhựa ABS, kính cường lực</td><td style=""border:1px solid #d9d9d9;"">Thép 0.8mm, nhựa ABS, kính cường lực</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Fan đi kèm</td><td style=""border:1px solid #d9d9d9;"">3 fan RGB 120mm mặt trước</td><td style=""border:1px solid #d9d9d9;"">3 fan ARGB (2x140mm trước, 1x120mm sau)</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Hỗ trợ ổ cứng</td><td style=""border:1px solid #d9d9d9;"">1 x 2.5"", 1 x 3.5""</td><td style=""border:1px solid #d9d9d9;"">2 x 3.5"" HDD, 2 x 2.5"" SSD</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Cổng kết nối mặt trước</td><td style=""border:1px solid #d9d9d9;"">USB 2.0 x2, USB 3.0 x1, Audio</td><td style=""border:1px solid #d9d9d9;"">USB 2.0 x2, USB 3.0 x1, HD Audio</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Hỗ trợ radiator</td><td style=""border:1px solid #d9d9d9;"">Không công bố rõ</td><td style=""border:1px solid #d9d9d9;"">Trên: 240mm, Trước: 280mm</td></tr><tr><td style=""border:1px solid #d9d9d9;"">Thiết kế mặt trước</td><td style=""border:1px solid #d9d9d9;"">Mặt lưới, kính cường lực, RGB</td><td style=""border:1px solid #d9d9d9;"">Mặt lưới, kính cường lực, ARGB</td></tr></tbody></table></figure><p>Xigmatek MYX Air 3F vượt trội hơn MIK MORAX 3FA BLACK nhờ hỗ trợ bo mạch chủ ATX, phù hợp với nhiều cấu hình PC hơn. Với 3 quạt RGB mặt trước, MYX Air 3F đảm bảo hiệu năng tản nhiệt tốt hơn trong các tác vụ nặng. Thiết kế nhỏ gọn hơn cũng giúp sản phẩm dễ bố trí trong không gian nhỏ, lý tưởng cho game thủ cơ bản và người dùng phổ thông muốn build PC Gaming hiệu quả.</p><h2><strong>IV. Mua CASE Xigmatek MYX Air 3F EN45967 tại Phong Vũ – Giá tốt, chính hãng</strong></h2><p>CASE Xigmatek MYX Air 3F EN45967 là lựa chọn hoàn hảo cho game thủ, streamer và người dùng muốn build PC Gaming tầm trung với thiết kế hiện đại, tản nhiệt mạnh mẽ và khả năng nâng cấp linh hoạt. Sản phẩm phù hợp với những ai cần một thùng máy nhỏ gọn, thẩm mỹ cao và hỗ trợ tốt các linh kiện phổ biến.</p><p>Khi mua tại Phong Vũ, bạn nhận được sản phẩm chính hãng 100%, giá cả cạnh tranh cùng chính sách bảo hành uy tín. Phong Vũ còn cung cấp dịch vụ giao hàng nhanh, đóng gói cẩn thận và đội ngũ tư vấn chuyên nghiệp, giúp bạn dễ dàng chọn cấu hình PC phù hợp. Đặt mua ngay hôm nay để sở hữu thùng máy chất lượng, nâng tầm trải nghiệm PC Gaming!</p>","https://lh3.googleusercontent.com/ACpnjJxqTe1wGYz2tsTBkPNgDXVwEybzQ4sUxNv1iXUDeJ8O22Yy0Dno4rmkJXxi17GeRFk08ARBVfVAf-L7zDUYICNhVVst,https://lh3.googleusercontent.com/KiC1blboso3VrQIx58EyW5vmocdJB0DFbz__husOmq9nyQFMoeAHakRfvQK5xt5e-x5tAby3GTiL-i9Ro2KVr7-C1vzd5Bo,https://lh3.googleusercontent.com/tzpoBgs1epOzPpUkhgAhrn1px7LQLUuj_qqr97drhfkjlUiIVKQJKlme2Nf0oMU7k-p4GgpMs_4nMTA-AyAjeYtjOgVFGec,https://lh3.googleusercontent.com/KXvak4Z6X5bKiX5OkiVWa6sdAhA8OM0kLTmPuL0lvajp80_GNmqWa9sTv9LXo7cJDj45T8EAju9MW1_ucxKzv7f7oy7Q4PE,https://lh3.googleusercontent.com/tc_QHLIAdu1MyZo1TeSVcB8D-pcSqH1Bmaenp1yQIlGrJK4CkHCpiAp_hld8dmB_sCIjT-jIJBz0xqkwl0D7JmJsq_MHz5c,https://lh3.googleusercontent.com/KKtDlE3JN2TLF8CkPeMuuzZ8zh8kpDRLqIa00Ykg536PhjWgf8vfSC2WdoICvFC-KJNwdiqWf1Z04LZBxRf6LWVvVsa26co",2,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ Case ASUS ROG HYPERION GR701 / Đen,11990000,Đang cập nhật,"https://lh3.googleusercontent.com/Fxv9Onn5G_K0QECQaMnLwCCU1vsfmOeX1WYRUl4ehEjq98stKx_00ZCOA3YJfDcDzK5ck8tdnzCJZfW9QxrkcN-_0qK7a6Sf,https://lh3.googleusercontent.com/gek9pCVTb7yByNLpIrw__WtOuYxyCIWJqrUysxcjGWA3eXwpGfDlUQ5VeSNeiUNCbfhg3vgVPFnxv5aZq6ojLCXKPR-VpWDG,https://lh3.googleusercontent.com/DSYNgXeLFjBWAuU2IYwuAL_vU33LFa6kZiDapf06uIOjoZXbKFeR-4KrEo1x7pIuvwMOTwuHAv7Ag0uLUp8TxPRdPvHtrVsX,https://lh3.googleusercontent.com/RzGQ_57ia8rltBG8myI8PaQ9OQDILrip6xXbx1E-7P52r_F491Eb5SurGDxVeFV5GuvnAld0lw3sgQEKxK0nzr45KGSt0_vf,https://lh3.googleusercontent.com/EdfjcuHbngPgLcDZHyKyHdIpKR5ttjXcYivgyJMWFRW0i55xz-h45MJeDzHWg82gDoeICdtw8avIrcLCcndydjcpanJcyRs,https://lh3.googleusercontent.com/tTqG0FnU9uz4qYlF2-ZqF5kLguzm_gU5W-2LSKXNF0LNDIAOEsayAQAZQpMMVBim8JoEnCVQO-Qne9Rvn0nxdfXnxP8pfAIu,https://lh3.googleusercontent.com/VNfM1S597GvYJEoCaxGfOlpUzDpDhD9PYpcI08zYJ0wQP0ulb7PSMt2FreYp-yJI7mdGjZ2DUqfJehc7kddo8jL5LTEavar-,https://lh3.googleusercontent.com/8YxgGjmU_9ZUtbYLZQ0hP7lbupASLrCLg73cwxlrpsVjRzK5b0l5ItrKOgumJtRpBQZ8WHc1g5Si5irxMJFivc3N94NOvgI",2,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ Case HYTE Y70 Standard - Đen,6290000,Đang cập nhật,"https://lh3.googleusercontent.com/IT_eLJsqVEua4Rq8pBLedPCig6p4aomS3WHFzHolKjZsr6FUjkYxOoWHmnMembTy8rCERx9M59h2X4otvsOO-x4XTvqtUBk,https://lh3.googleusercontent.com/gyAzUCgFugT-yLomjbl-Ik1tjC6IvFD-115Z9cO2iej_kSiWsXq6rm1rwqwdoUZumLaJ_OakNIsgNfU60JnSV0InTsrvD0uK,https://lh3.googleusercontent.com/YLtMq3F4KkDdH_762UcBFnIzxqO0Ws4nVYCqiVSlrDMHe5e_cImxahvHGglwKcc0NtWKiAFcwgoClJUyLD4KzUnUZVcrjEu4Fw,https://lh3.googleusercontent.com/TXdXKDLeJufq5wb_gRj4vT6VQWh6qEHiIVqJC_E6cXBytlqKMgHp4oqxXoEFE0jPvIOC9TGm2vfxoHfbReyrX_uG5yniz3aV,https://lh3.googleusercontent.com/6Uv8J4bkc2bc6bT5BCI2WQB-d-duE-Mx9sMm2WRTKiLH2-iGHi0d9fSA40QVwQ1-Rt8Sj3xfvkVX6_cPSMmQ9PHI1jTBpFAadQ,https://lh3.googleusercontent.com/DutwAL3bODbT2o5H1P6kcdGvloyKPXPJuXiJGLltKMM6GwUVNZEJ6YNidBja-oC0Hu8928z1eBf6BTu0O0tqSCdqZJpw-qf2",1,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Vỏ máy tính/ Case Cooler Master MasterFrame 600 Silver/ Bạc,6090000,Đang cập nhật,"https://lh3.googleusercontent.com/hE4NowwNFi5ge-gw7XQEsI_e8v9Ot7sWVsKMYCoTakEksanKUl0qQU_X4dSlIZw6x0An0KYqb5kHcWjjSEy-uf-wQeM48oU,https://lh3.googleusercontent.com/K8mAfwsOI4T1U4PctoYF37JWJbICtKqH7jQKVWGQaQnJVPly0ldZZjTcvEElaUrarx2ZmvjjeIYGNY01T62LrhIK8AHFFJk,https://lh3.googleusercontent.com/c0e9lthIpdgLTMOsj7dH9tNelEoUVu48p7Zu9_5bDRtctvyzvzmderw4vrFmkS_V46wHTZOqhTtBDGxiqWEXwwDo1QmUOPRj",1,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ CASE MSI MAG PANO 130R PZ Trắng (4 fan),1990000,Đang cập nhật,"https://lh3.googleusercontent.com/lLn0oeCisQEs584xl8WhlDevyJABnSbyTV1IqLUY9m_pFklE4Zv9wKTX8mZYj9fCA2XYJo4dWP6GCXV8OZ0yCa51Q_J5cKatpA,https://lh3.googleusercontent.com/3W16HE7d6wDjc2uGxcj6WINNOgXXTM-xbnlF8ipxWDbxvM4Okg8cL92dW47wW2wLP7aTn9L-m7aPVug9UN8rr-wra5bkWVhC8A,https://lh3.googleusercontent.com/dATTQmgtKAZcSGGUbV9Z4sg5zUChTVa9J9_h3Etj-9H4XlzSpi6MzwFaAshmEqVrDqqMXA9Cr_E7w-fAUHLU2ArjX19egRDpAg",4,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ Case Jonsbo Z20 Black,1649000,Đang cập nhật,"https://lh3.googleusercontent.com/P4jb8wTtqhLFQYJKZ4SGTJtPUrl0ICOsLXwVIBrk25jJlm0DQckEcYsGou0PR8sqnuuERyenxatkblI_9kmYru1W8lSmbps,https://lh3.googleusercontent.com/8Y_pn3YJwu1MffhBs_Vgov-51QyTI0Fxw4xNxpR8anlNyyrgNxhLYOz48Qz5f2pO0k6VeBq_p5QoeMHQWCQWpqNx-bVKEfnAyQ,https://lh3.googleusercontent.com/Ia2Vacllv7YDzsJAS9du08wb9yi0_fvUt2DZSJU9Jdg2P_LOg4FAVWUGKRL1iF5dv6bCQtNzalJ2qCSOoSEKNPiFKTfMSz3C,https://lh3.googleusercontent.com/1rd3NL6HkJGZjGj6HdInhTFksjtVXpeqLpHTyLl3mKvRB8GBh4sSO-oi4Mdh0KLhXMk3JRXo5pBn2470zPqovRAF0V2iwB33,https://lh3.googleusercontent.com/Sj6kGEboBXqvTKpSU2scpuoXTue3UJIB4cjiGhks84SbCNDI2aRaA0zP3bV9tGQqHl9ga5c8bvYbNGB-7pC00byp_IhC6vqXmw,https://lh3.googleusercontent.com/KAcmfEXuV5zxd_jzbWL4zKCzBQpcAweCFTi61XbuEU14V5sy6bL5jkhVSORLQw4vLEeZgqiSd4tpO7Ieq2elz83wvFBK2uvE,https://lh3.googleusercontent.com/v24gFljWiR_k_nZHPgm-imin_qdLveEm1073by-fVyNF2axw3N4ho3oMurSvbfRia0RiiH5NUSdgbZOlUN85V0bDvzqvBqHt,https://lh3.googleusercontent.com/CgX7ygRKZXXs9Zso32gQE6Hnz4XCwVsaSIo5sbfOBf3Fz3nJIIsjErwik2HuaIe6YVbuBYb2X9JGrMWlI59HLUh0R_Cblq2C",6,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ Case Art Ultra HM1 White ATX,2490000,Đang cập nhật,"https://lh3.googleusercontent.com/2WHbfGiWSLAXU9qtGu8NITJ1X1OanhTg0Jg7ZRlw4zJ9ZNTpBg2_UPntjMuWtZoUBxpYuExLgHCVcjY3_vN1kCq3FXtGyJg-EA,https://lh3.googleusercontent.com/tdfpzZ0LyC8zvXG2O3oS3u9GoeAWFDhDBPqfR18xRDvfi1VWQnS6OeRdu5GbnR2d7pAZUAVH6JLOF1iNfOTQDhuBpxMFMMA,https://lh3.googleusercontent.com/LWAENZPdHxI5PP9YxD80VhntRxdqANevxDMm3gp0WKGw67JKvRLqtjRTHlykuoLDbW_LoLQnavKaIdvg6yISN6RATaZ7F1Eq,https://lh3.googleusercontent.com/FIoiCTRymvak4BTuUSMnU8KWNjrj4XXtuYGe5Io2voChc9W5oPoPe_3kPfgWtlB7ihmGNUHrv7VVhSIUQjKN3nJ0jq5bnJEG,https://lh3.googleusercontent.com/nHFTylBG82fsfQByinuSzLyBUh0lz5g30ywiwRoOk52jwfcL9szlTZWRYCI208Jcw2PErjc5AM4NP-WTKKprx6NuD5t-J8JC,https://lh3.googleusercontent.com/w2j6o-m792YXU-MJ-MbYdsmplLNBA6Lm9zJLiG-s8dLeHgjcgtM2IJ806daFII9ajxdxm3Yne13hJ8yrTZn1cMuAJGvemmcy,https://lh3.googleusercontent.com/kTmquwiZBO7cBRTpocrIGqE4lFuT9wAXoNstU2JBEXGq0aCae0g0_USNaz7ridBngU_wBnnjUL7P-VQ3qWQCU-nJxvDyKzn_,https://lh3.googleusercontent.com/JvCFmdKO-fzOsZd2DUdCOg0m9epMup3d_ooSxr__m12jo2BUBWIMsfIQXg5gla0Eyt_AKI5SkByNrN3ONVQx9U95_Pmsgcw3,https://lh3.googleusercontent.com/KQb4UBKtCLCPZAyv2GaSrCHFDjCUt-u9HnEemZB8v9IRyhrVXWabUtrNuw57jPX1cAA5Q-HYXD_64-mFlg75t1kU9NH7D7s,https://lh3.googleusercontent.com/H2WcZQl5nAAhgvmUSgmpzWL6fwlohaxvKXjwWoMCmCXz8iibhiDh_KGXhbbgWHaYMNrlPJdvjf3CkMDd47Tcas4kY16MUXk,https://lh3.googleusercontent.com/ijl4OIhFlQN_NC7eibGrqi7gmLrP5jx1K2yvPl_lfArZk76IlyN2gslGRvHW99XK1ahYBEvmu_gmvT5vrVp97A-ga5F6XmMP",7,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ Case Jonsbo TK-1 Black,2390000,Đang cập nhật,"https://lh3.googleusercontent.com/dNwwvqSt8-Ef1sQlpvHzm1rP4LGPpwtOZ4Za6ID9jkpfWxjRz_RB6ZXfYCNI4-NT0kdIgZeINuaRLwRY7apSj9_PkBptSjY_VA,https://lh3.googleusercontent.com/31eH1uKAPwyuIdXTL5q9CtLRkrwfUE_jlmWEZmFSIIxp9RpyHFxDSWwZHf1xeVDKEGKFZpVa9-eg-vzqcUSaYelYymp3X8g,https://lh3.googleusercontent.com/LpaxJEYQzG0B03j36qiVvdvfa0t_olx8GpvABvpB5v3STg7iPKNoHC3mqGXkxOuaAK__RAGjMkyq0YZFP8yHA7JXIOedvTY,https://lh3.googleusercontent.com/Dtey0otKydgWEKNjXsABePyJ1PrPQqSYdNHsg5vbsW14MEAkDNU-B3-4hdtaOI_2IWV6KewkUL0UNy8HJRuL0r-6Eh1MuZgIxw,https://lh3.googleusercontent.com/C3nfCY3P5GOhnkwcqnAsLlG-PmDYiF1MLGY-bwFRoIPWXbgug-x35DDnOtRMIq0yy2A5b-tL18K7liG08oA_AwVlU7YIt_u8-Q,https://lh3.googleusercontent.com/ttgNIbf4wAkVNrVy-eXQzviNll8Hv89DyNAu2yTzWg-UvtH2QsZo5FQEPweWP1dDG-QT94oI2b00_Io7SbwCAaZp6BeWaYDO9w,https://lh3.googleusercontent.com/urY_BUh0Jr8pTyMeQ_E8AqcXDnqZsJzJorQagGI8VZ5foMdjStFYenEvcA-sri8Zn0MBGuZooXlDuS4LfhDCXYFIrgd9TYa6,https://lh3.googleusercontent.com/HrG9iOx_X1ISGTGRVF2si1aQ0ZP-ZW8lCyzaBOE_DE4FQfXNtZYl3Oo0EJTcaUYWvOAziaDnOcRSHhyXknnCD72Wc_XnLTA",6,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
Thùng máy/ CASE MAGIC CUBI-M ELITE BLACK,690000,Đang cập nhật,"https://lh3.googleusercontent.com/O-exFfOMF07BveArJUyd-oKQ5kqNKcyG9w2obgoHBlxORoXCUpCAahjCR4HSm27zvfMUQkew_Atfd2jz9e-2ea4ioEWo0SY54w,https://lh3.googleusercontent.com/eP2J4-o-w3RdX0aUG-cvV1vsaJuJDHo37A-6HovFblVIsy2CelRisN8LFJqTW1JnkegybZpS5lngDfTUTp4BbqZi4hymZycx,https://lh3.googleusercontent.com/9sazGDfHyAeb7MJX_IJpdQuQlRLGGGN-eUOLWt8quFsHUI7MSsZtL4xgHEQ9QKojAPejtTZN52wFP-oJo88J0UW1-aihd-WXDQ",7,751258d9-4091-4ce5-9b7e-ffb7a8513f34,case
