name,price,description,images,stock,categoryId,componentType
PC PV Gaming Apollo E007-3 (Intel Core i3-12100F/ Radeon RX 6500 XT/ 1 x 8GB/ 500GB SSD/ Free DOS),12490000,"CPU Intel Core i3-12100F<br/>Mainboard Asus Prime H610M-K D4-CSM<br/>RAM Corsair 1 x 8GB DDR4 3600MHz<br/>VGA Asus Radeon RX 6500 XT 4GB GDDR6<br/>SSD WD Green SN350 500GB M.2 2280, PCIE NVME Gen 3x4<br/>PSU MIK C650B (SP006078)<br/>Case MIK AETHER GAMING – BLACK<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/m59e2GmuNVM0tRVekwK-pg_iOLm10VWkdXvKrO3y5HbeHhUjlAh1_5kLEweEeVKcOqamEyrtzk_xUNsM7V4LTSmGWWJJAcWv,4,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Apollo M012 (Intel Core i5-12400F/ GeForce RTX 5060/ 1 x 8GB/ 1TB SSD/ Free DOS),23990000,"CPU Intel Core i5-12400F<br/>Mainboard ASUS PRIME B760M-A D4-CSM<br/>RAM Adata 1 x 8GB DDR4 3200MHz<br/>VGA Asus GeForce RTX 5060 8GB GDDR7<br/>SSD NVMe 1TB KIOXIA EXCERIA PLUS G3 Gen4x4, HMB<br/>PSU MIK C650B<br/>FAN Xigmatek Infinity Pro 3 - EN47756 - Đen<br/>CASE MIK G3 PRISM GLASS M BLACK<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/zo875y44EtbI12Yi2a94LXMXC-fsTRzIcCmfn9RBt7Z90wl4S4a3ZgMkRvqK19gPkP9icbW2XTI2yUDp7D5lUjRgu88fTsr_MA,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Cupid M014 (Intel Core i5-12400F/ GeForce RTX 3060/ 1 x 16GB/ 512GB SSD/ Free DOS),22590000,"CPU Intel Core i5-12400F<br/>Mainboard MSI PRO B760M-P DDR4<br/>RAM G.Skill 1 x 16GB DDR4 3600MHz<br/>VGA Msi GeForce RTX 3060 12GB GDDR6<br/>SSD Adata LEGEND 710 512GB M.2 NVMe Gen3 X4 (ALEG-710-512GCS)<br/>PSU Msi MAG A650BNL - 650W - 80 Plus Bronze<br/>Case MSI MAG FORGE 320R AIRFLOW<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/lnaMAepPd8ab2Xjsug3tRCFLeap5-C-Y-hn6mwQxPMjMs6NulG208-LsLWvhB7uiMpjyvbbrgZPFpBX7HstHWOQ2-vabV4w,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Cupid E005-2 (Intel Core i5-12400F/ GeForce RTX 3050/ 1 x 16GB/ 512GB SSD/ Free DOS),19690000,"CPU Intel Core i5-12400F<br/>Mainboard MSI PRO B760M-P DDR4<br/>RAM G.Skill 1 x 16GB DDR4 3600MHz<br/>VGA Msi GeForce RTX 3050 6GB GDDR6<br/>SSD Adata LEGEND 710 512GB M.2 NVMe Gen3 X4<br/>PSU MSI MAG A650BNL<br/>Case MSI MAG FORCE M100A (4 Fan RGB)<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/I5504nLNRAb9-PDAV1w4UEDoVjmbHNfA0GCLdHLLXROqfez19tvyCtzBKJnRC9kspeL8JRg5e5jk3amiQqugUc_YB4yKDj8,5,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Cupid M022 (AMD Ryzen 5 7500F/ GeForce RTX 3050/ 1 x 16GB/ 1TB SSD/ Free DOS),21190000,"CPU AMD Ryzen 5 7500F<br/>Mainboard MSI PRO B840M-P WIFI6E DDR5<br/>RAM Team 1 x 16GB DDR5 6000MHz<br/>VGA Msi GeForce RTX 3050 6GB GDDR6<br/>SSD ADATA LEGEND 860 PCIe Gen4 x4 M.2 2280 1TB (SLEG-860-1000GCS)<br/>PSU MIK C650B (SP006078)<br/>Case MAGIC CUBI-M ELITE BLACK<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/q-TVkqzH_n1yVpXwpjxk7vznfcKBrcZIBQnF5V4I56BtG4Y4Wu4EKqOId3bM6zq20v22uF9P2CUbCzdYJrw_-oeRAnabjiiR,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Cupid M023 (AMD Ryzen 5 7500F/ GeForce RTX 5060/ 1 x 16GB/ 1TB SSD/ Free DOS),26490000,"CPU AMD Ryzen 5 7500F<br/>Mainboard MSI PRO B840M-P WIFI6E DDR5<br/>RAM Team 1 x 16GB DDR5 6000MHz<br/>VGA Msi GeForce RTX 5060 8GB GDDR7<br/>SSD ADATA LEGEND 860 PCIe Gen4 x4 M.2 2280 1TB (SLEG-860-1000GCS)<br/>PSU MIK C650B (SP006078)<br/>Case MSI PAG PANO M110A<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/87yUyr9qUyISCmDapvinlkdzxS7UfF6bwe-1kXrcB4NwpEsxMj2V4jZ2zMJxtwMdJQoqWklf9Kd_nOulhOyKRMWskO8XO82M,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Cupid M024 (AMD Ryzen 5 7500F/ GeForce RTX 3060/ 1 x 16GB/ 1TB SSD/ Free DOS),24490000,"CPU AMD Ryzen 5 7500F<br/>Mainboard MSI PRO B840M-P WIFI6E DDR5<br/>RAM Team 1 x 16GB DDR5 6000MHz<br/>VGA Msi GeForce RTX 3060 12GB GDDR6<br/>SSD ADATA LEGEND 860 PCIe Gen4 x4 M.2 2280 1TB (SLEG-860-1000GCS)<br/>PSU MIK C650B (SP006078)<br/>Case MAGIC CUBI-M ELITE BLACK<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/4wSLzOp0EwSgD3LcNtZp07Xd5EMWonXBm8BZc7BcQnoG_MB061dxGAvnUlTBsXgsH3TaT-11IuYAUxniCbHv-cVRPZdC8xYwsw,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Hera H019 (AMD Ryzen 7 9800X3D/ GeForce RTX 5080/ 2 x 32GB/ 1TB SSD/ Free DOS),134000000,"CPU AMD Ryzen 7 9800X3D<br/>Mainboard Asus ROG STRIX X870E-H GAMING WIFI7 HATSUNE MIKU EDITION DDR5<br/>RAM Corsair 2 x 32GB DDR5 6000MHz<br/>VGA Asus GeForce RTX 5080 16GB GDDR7<br/>SSD Samsung 990 EVO Plus 1TB M.2 2280 PCIe 4.0 x4 NVMe 2.0 (MZ-V9S1T0BW)<br/>PSU Asus ROG Thor 1200W Platinum III Hatsune Miku Edition<br/>COOLER Asus ROG Ryuo IV SLC 360 ARGB<br/>Case Asus ROG Strix Helios II Hatsune Miku Edition<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/KsiFZdLAZA_ScNK2L-C7gCS_-YOMVqm2nYkoizwfBmhk6Gqdae6viNc_9LEgp31q3G15iKSsJwyiLQOgOBjSkQuD6bazNvoN,2,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Hera H018 (AMD Ryzen 7 7800X3D/ GeForce RTX 5070Ti/ 2 x 16GB/ 1TB SSD/ Free DOS),79990000,"CPU AMD Ryzen 7 7800X3D<br/>Mainboard MSI B850 MLG EDITION DDR5<br/>RAM Corsair 2 x 16GB DDR5 6000MHz<br/>VGA Msi GeForce RTX 5070Ti 16GB GDDR7<br/>SSD MSI SPATIUM M480 PRO PCIe 4.0 NVMe M.2 1TB<br/>PSU MSI A850GLS MLG EDITION 850W<br/>COOLER MSI CORELIQUID A17 MLG EDITION<br/>Case MSI PANO 130R MLG EDITION<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/fbUz261jB_LJvRDsf81QqjVFDmnKvZmznSZmeOETS0HV4IP2x2l9u7E8MRmzGZ2PSR326ITCD3P4ATowIKHxxMdTM0SOooTEkQ,1,6b901f09-75b8-454f-999a-e6dab4907d88,pc
PC PV Gaming Apollo M016 (AMD Ryzen 5 7500F/ GeForce RTX 5060/ 1 x 16GB/ 1TB SSD/ Free DOS),26490000,"CPU AMD Ryzen 5 7500F<br/>Mainboard Asus B840M MAX GAMING AX-CSM DDR5<br/>RAM Team 1 x 16GB DDR5 6000MHz<br/>VGA Asus GeForce RTX 5060 8GB GDDR7<br/>SSD NVMe 1TB KIOXIA EXCERIA PLUS G3 Gen4x4, HMB (LSD10Z001TG8)<br/>PSU MIK C650B (SP006078)<br/>CASE ASUS A31 ATX BLACK 4FA<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/rnh6NjDyxayZDbifhh8pvCxyZP7l0xDLJm8qLY3qJANgBIWD9eBcrV7dMPuzWU6-zw0tIx1L1RZJr6z6CDBNYRHI1tgisJ1r2g,0,6b901f09-75b8-454f-999a-e6dab4907d88,pc
