name,price,description,images,stock,categoryId,componentType
PC PV Home Office I50168 (Intel Core i5-12400/ 2 x 8GB/ 500GB SSD/ Free DOS),14890000,"CPU Intel Core i5-12400<br/>Mainboard MSI PRO H610M-E DDR4<br/>RAM Team 2 x 8GB DDR4 3200MHz<br/>SSD WD Green SN350 500GB M.2 2280, PCIE NVME Gen 3x4 (WDS500G2G0C)<br/>PSU MIK SPOWER 500 (SP005841)<br/>Case MIK Phong Vu Office<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/PHmnGVIyIUL0Fw26MoQhZ8KDX2ai5cxltegqgVBgtxR0yH2WzrEOJ3Qv77yAn0DL2_3FgxIq6URPrQg5sx3F-0D1-X7_RjM7,3,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC Dell Tower ECT1250 (Intel Core i5-14400/ 16GB DDR5/ 1TB SSD/ Windows 11),17990000,"CPU: Intel Core i5-14400 (2.5 GHz - 4.70 GHz/20MB/10 nhân, 16 luồng)<br/>Đồ họa: Intel UHD Graphics 770<br/>RAM: 1 x 16GB DDR5 4800MHz (2 Khe cắm, Hỗ trợ tối đa 64GB)<br/>Lưu trữ: 1TB M.2 NVMe SSD <br/>Keyboard + Mouse: USB",https://lh3.googleusercontent.com/yPsV_sPERmYUN_QA1yIcM3pyfnUny3GV8PjzQKFGhn14of31wdsodb4DuKF_ICzBA9nIVm-SEZEMFWeyhP51GM1Qbix-W2dB,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC PV Home Office MT I50215 (Intel Core i5-12500/ 1 x 16GB/ 1TB SSD/ Free DOS),15590000,"CPU Intel Core i5-12500<br/>Mainboard MSI PRO H610M-E DDR4<br/>RAM Team 1 x 16GB DDR4 3200MHz<br/>SSD WD GREEN 1TB SN350 NVMe M.2-2280 PCIe Gen3x4 (WDS100T3G0C)<br/>PSU MIK SPOWER 500 - 500W<br/>Case MIK Phong Vu Office<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/wckHUyWsTW44n_HTnVYMU-dYv49encpc38fb3rcFhX2sgGMPJET5xyD1nBND5r12ZnEks8WdDUmgZSJY075mTN7iDCAOPB2_JA,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC PV Home Office MT I50214 (Intel Core i5-12500/ 1 x 8GB/ 500GB SSD/ Free DOS),12990000,"CPU Intel Core i5-12500<br/>Mainboard MSI PRO H610M-E DDR4<br/>RAM Team 1 x 8GB DDR4 3200MHz<br/>RTX RTX<br/>SSD WD Green SN350 500GB M.2 2280, PCIE NVME Gen 3x4 (WDS500G2G0C)<br/>PSU MIK SPOWER 500 - 500W<br/>Case MIK Phong Vu Office<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/whnwzugcjt-JpzStoVVFGcPPh5N6vHXcatBKJFKjctbsjhf4VCVDi0WPnk_mvs1fxlNVReuZzyFG4QIf42mvHMpduAjbeRMm,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC PV Home Office MT A50205 (AMD Ryzen 5 5500GT/ 2 x 8GB/ 1TB SSD/ Free DOS),12390000,"CPU AMD Ryzen 5 5500GT<br/>Mainboard Asus PRIME A520M-K<br/>RAM SP 2 x 8GB DDR4 3200MHz<br/>SSD WD GREEN 1TB SN350 NVMe M.2-2280 PCIe Gen3x4 (WDS100T3G0C)<br/>Power MIK SPOWER 500 (SP005841)<br/>Case MIK Phong Vu Office<br/><br/><strong>Cấu hình trên do Phong Vũ gợi ý và hỗ trợ lắp ráp sẵn miễn phí. Quý khách có thể tùy chỉnh cấu hình theo nhu cầu <a href=""https://phongvu.vn/buildpc"" target=""_blank"">tại đây.</a></strong><br/>",https://lh3.googleusercontent.com/eAaNZCNFunIWgKMejTdbBW0i4DQplf7IWa9Xe4kt9EkxTSHRBTilE91uwiteHeLhpvSOABITdAhWjmzBM34nr1ejLSioY68,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC HP ProDesk 2 Tower (BD5Y1PT) (AMD Ryzen™ 7 8700G/ 16GB DDR5/ 512GB SSD/ Windows 11),16490000,"CPU: AMD Ryzen™ 7 8700G (4.2 GHz - 5.1 GHz/24MB/8 nhân, 16 luồng)<br/>Đồ họa: AMD Radeon™ 780M Graphics<br/>RAM: 1 x 16GB DDR5 5200MHz (2 Khe cắm)<br/>Lưu trữ: 512GB M.2 NVMe SSD <br/>Keyboard & Mouse: USB",https://lh3.googleusercontent.com/wdoqUPpyUX3VjVnBldbXorYJf4K9mr4tkUsj6KgUoPFoEEOUqMb44_5X8y4IIfssvBLkc3edRG3Lq-I9hYQp3w35ytNGXWD-0A,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC HP ProDesk 2 Tower (BD5X8PT) (AMD Ryzen™ 5 8500G/ 8GB DDR5/ 512GB SSD/ Windows 11),13490000,"CPU: AMD Ryzen™ 5 8500G (3.5GHz - 5.0 GHz/22MB/6 nhân, 12 luồng)<br/>Đồ họa: AMD Radeon™ 740M Graphics<br/>RAM: 1 x 8GB DDR5 5200MHz (2 Khe cắm)<br/>Lưu trữ: 512GB M.2 NVMe SSD <br/>Keyboard & Mouse: USB",https://lh3.googleusercontent.com/ItVGAYvfWXda-RVwGebc_RmnDsZs0lZAVk9PTBFcH7_sk1BvrImqaVnt675T2FY3gd2ow1KxPplX1avzP5SPg9aYVsr1,3,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC HP Omnidesk S03-0042d (C16DVPA) (Intel Core i7-14700/ 16GB DDR5/ 512GB SSD/ Windows 11),19990000,"CPU: Intel Core i7-14700 (2.1 GHz - 5.4 GHz/33MB/20 nhân, 28 luồng)<br/>Đồ họa: Intel UHD Graphics 770<br/>RAM: 1 x 16GB DDR5 5600MHz (2 Khe cắm)<br/>Lưu trữ: 512GB M.2 NVMe SSD <br/>Keyboard + Mouse USB",https://lh3.googleusercontent.com/fxPMr62tzZ7k9mSLHRdvmoi1zo3IZzDjSZ4rOb6E9PJvD8LuUghBpblXsiqCC26VOry0spSfcoXdDUxqxH5aXR2bP7XOzyKD,3,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC HP Omnidesk S03-0023d (C16DRPA) (Intel Core i3-13100/ 8GB DDR5/ 512GB SSD/ Windows 11),11490000,"CPU: Intel Core i3-13100 (3.4 GHz - 4.5 GHz/12MB/4 nhân, 8 luồng)<br/>Đồ họa: Intel UHD Graphics 730<br/>RAM: 1 x 8GB DDR5 4800MHz (2 Khe cắm)<br/>Lưu trữ: 512GB M.2 NVMe SSD <br/>Keyboard + Mouse USB",https://lh3.googleusercontent.com/CvDBXY7y0O2f-6fAqc4071DysvUQjmWsIPpYNyGzXE_lHJq-XZ1U91P0S7x-wZhqWFwUNLwFQEUJAPoYlHUrShcl8xsqvNR8Ww,4,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
PC HP Omnidesk S03-0025d (C16E0PA) (Intel Core i5-14400/ 16GB DDR5/ 512GB SSD/ Windows 11),15690000,"CPU: Intel Core i5-14400 (2.5 GHz - 4.7 GHz/20MB/10 nhân, 16 luồng)<br/>Đồ họa: Intel UHD Graphics 730<br/>RAM: 1 x 16GB DDR5 4800MHz (2 Khe cắm)<br/>Lưu trữ: 512GB M.2 NVMe SSD <br/>Keyboard + Mouse USB",https://lh3.googleusercontent.com/R1jSCfV03oD6U8DLJC7nuvft2_AlD9kiKFbVK8PniujOQ7WGEJ6mjdlvRCaRu7lecJKlBJuzCE_sSKJPBpwO4f9_WP0f3nqTKg,0,c0dfc09e-a202-4884-b29b-6cbaf38c5fe1,pc
